HH_ID,Longitude,Latitude,x,y
2,108.783,27.9925,86,78
3,108.778,27.9909,85,77
5,108.777,27.9913,85,76
6,108.78,27.9917,85,77
8,108.782,27.9927,86,78
9,108.778,27.9908,85,77
11,108.778,27.9912,85,77
14,108.778,27.9897,85,77
15,108.778,27.9898,85,77
16,108.781,27.9916,85,78
17,108.777,27.9914,85,76
18,108.777,27.9914,85,76
19,108.777,27.9897,85,76
22,108.778,27.9911,85,77
25,108.778,27.9914,85,77
27,108.782,27.9927,86,78
30,108.777,27.9871,84,76
31,108.773,27.99,85,75
32,108.774,27.9901,85,75
34,108.774,27.9903,85,75
35,108.775,27.9873,84,75
36,108.773,27.9901,85,75
39,108.774,27.9902,85,75
40,108.773,27.9905,85,75
41,108.773,27.9903,85,75
42,108.775,27.9871,84,75
43,108.773,27.9901,85,75
45,108.774,27.9907,85,75
46,108.774,27.9903,85,75
47,108.774,27.9907,85,75
48,108.773,27.9902,85,75
49,108.773,27.9905,85,75
51,108.78,27.991,85,77
53,108.775,27.9877,84,75
54,108.774,27.9885,84,75
55,108.773,27.9901,85,75
57,108.774,27.99,85,75
63,108.68,27.9846,83,40
64,108.679,27.9831,82,40
71,108.678,27.9829,82,40
72,108.678,27.983,82,40
79,108.68,27.9854,83,40
81,108.68,27.9845,83,40
85,108.68,27.9854,83,40
89,108.679,27.9856,83,40
91,108.68,27.9853,83,40
100,108.68,27.9855,83,40
101,108.667,27.9789,81,35
102,108.667,27.9795,81,35
103,108.667,27.9794,81,35
104,108.667,27.9792,81,35
108,108.666,27.9794,81,35
109,108.666,27.9795,81,35
113,108.666,27.9792,81,35
118,108.666,27.9836,82,35
120,108.666,27.9798,81,35
121,108.665,27.9799,81,35
123,108.665,27.98,81,35
128,108.665,27.9837,82,35
129,108.666,27.9786,80,35
131,108.783,27.9802,81,78
132,108.783,27.9803,81,78
133,108.783,27.9803,81,78
134,108.782,27.98,81,78
135,108.789,27.9878,84,81
137,108.79,27.9883,84,81
138,108.782,27.9801,81,78
140,108.782,27.9799,81,78
141,108.782,27.9803,81,78
142,108.782,27.9803,81,78
143,108.782,27.9804,81,78
144,108.781,27.9801,81,78
145,108.781,27.9797,81,78
146,108.781,27.98,81,78
148,108.781,27.9735,79,78
149,108.781,27.9734,79,78
150,108.781,27.9735,79,78
151,108.781,27.9733,78,78
153,108.782,27.9741,79,78
154,108.781,27.9738,79,78
155,108.782,27.9745,79,78
157,108.782,27.9745,79,78
159,108.78,27.9726,78,77
160,108.781,27.9742,79,78
161,108.781,27.9736,79,78
163,108.782,27.9744,79,78
165,108.782,27.9744,79,78
166,108.782,27.9747,79,78
167,108.782,27.9747,79,78
168,108.782,27.9743,79,78
169,108.781,27.9741,79,78
