"HH_ID,x,y"
"2,86,79"
"2,87,79"
"2,86,79"
"3,85,79"
"3,85,79"
"3,85,77"
"5,86,77"
"5,85,76"
"6,87,78"
"8,86,79"
"8,86,79"
"8,85,77"
"9,86,79"
"11,86,76"
"11,86,78"
"11,85,77"
"14,86,76"
"14,86,76"
"15,85,78"
"15,85,78"
"15,85,77"
"16,86,78"
"17,85,77"
"17,85,77"
"19,85,77"
"19,86,77"
"19,85,77"
"22,86,79"
"22,86,78"
"22,87,79"
"25,86,78"
"25,85,78"
"25,86,77"
"27,86,77"
"30,84,77"
"30,82,74"
"30,83,76"
"31,84,75"
"31,85,75"
"31,84,75"
"32,85,76"
"34,87,74"
"34,85,75"
"35,84,75"
"35,84,76"
"35,84,77"
"36,86,74"
"36,85,75"
"39,87,78"
"39,84,75"
"39,86,75"
"39,88,73"
"39,87,74"
"41,84,75"
"41,87,74"
"41,84,76"
"42,84,75"
"42,84,76"
"42,84,76"
"43,85,75"
"46,86,74"
"46,83,73"
"46,85,75"
"47,88,75"
"47,85,76"
"47,88,76"
"48,87,73"
"48,79,68"
"48,86,75"
"48,85,75"
"49,85,76"
"49,86,75"
"49,85,75"
"53,83,75"
"53,84,76"
"54,84,75"
"54,84,74"
"54,84,75"
"55,84,74"
"55,80,68"
"57,83,75"
"57,83,75"
"57,88,75"
"57,85,75"
"63,83,44"
"63,83,43"
"64,81,43"
"64,82,43"
"71,82,43"
"72,82,43"
"72,82,43"
"85,84,44"
"85,82,43"
"100,83,44"
"101,79,40"
"101,77,44"
"101,81,39"
"102,79,40"
"102,79,40"
"103,79,40"
"103,78,40"
"104,80,40"
"108,81,40"
"108,81,40"
"113,81,38"
"113,81,39"
"113,80,39"
"113,81,39"
"118,80,38"
"118,82,38"
"120,80,40"
"120,78,41"
"120,81,40"
"121,79,40"
"123,81,39"
"123,81,38"
"123,82,39"
"128,82,38"
"129,79,39"
"129,57,61"
"129,81,39"
"131,82,78"
"131,82,79"
"132,81,79"
"132,82,77"
"134,81,80"
"134,82,79"
"135,85,80"
"137,84,81"
"137,85,81"
"137,86,82"
"137,85,82"
"138,82,78"
"140,82,80"
"141,80,77"
"141,82,77"
"142,81,79"
"142,81,79"
"143,82,79"
"143,82,79"
"143,82,79"
"144,80,78"
"144,81,78"
"144,81,78"
"145,82,78"
"145,82,78"
"146,81,78"
"148,79,79"
"148,78,78"
"149,79,78"
"150,80,78"
"151,80,78"
"151,78,77"
"151,77,77"
"153,79,79"
"153,78,76"
"153,79,78"
"154,79,79"
"154,80,78"
"155,79,80"
"155,80,78"
"157,79,78"
"157,79,78"
"157,79,78"
"159,81,79"
"159,78,77"
"161,78,78"
"161,79,79"
"161,81,82"
"163,79,79"
"163,80,78"
"163,79,79"
"163,79,78"
"165,79,78"
"166,79,79"
"166,79,79"
"167,79,79"
"167,80,80"
"169,79,78"
"169,79,78"
"169,80,79"
"136,81,78"
"136,81,79"
"136,82,79"
