6,226,151,2.404255319,1.606382979,8.525212766,3.404148936,,Step,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,227,150,2.414893617,1.595744681,8.86106383,3.394255319,,6,223.8666667,153.1333333,2.381560284,1.629078014,8.57741844,3.485340426
6,227,150,2.414893617,1.595744681,8.679148936,3.483617021,,732,109.6333333,267.3666667,1.166312057,2.844326241,3.748471631,5.28429078
6,229,148,2.436170213,1.574468085,8.754680851,3.383617021,,1460,182.3793103,194.6206897,1.940205429,2.070432869,7.011760822,3.65932135
6,223,154,2.372340426,1.638297872,8.567446809,3.48893617,,,,,,,,
6,230,147,2.446808511,1.563829787,8.880212766,3.344255319,,,,,,,,
6,228,149,2.425531915,1.585106383,8.767659574,3.408297872,,,,,,,,
6,230,147,2.446808511,1.563829787,8.847234043,3.353829787,,,,,,,,
6,229,148,2.436170213,1.574468085,8.806808511,3.38893617,,,,,,,,
6,231,146,2.457446809,1.553191489,8.814255319,3.388510638,,,,,,,,
6,230,147,2.446808511,1.563829787,8.863191489,3.413404255,,,,,,,,
6,231,146,2.457446809,1.553191489,8.874893617,3.328297872,,,,,,,,
6,232,145,2.468085106,1.542553191,8.937659574,3.324042553,,,,,,,,
6,226,151,2.404255319,1.606382979,8.602553191,3.476170213,,,,,,,,
6,229,148,2.436170213,1.574468085,8.703617021,3.401702128,,,,,,,,
6,225,152,2.393617021,1.617021277,8.737340426,3.522978723,,,,,,,,
6,225,152,2.393617021,1.617021277,8.646702128,3.507553191,,,,,,,,
6,233,144,2.478723404,1.531914894,8.973829787,3.311276596,,,,,,,,
6,234,143,2.489361702,1.521276596,9.065319149,3.29,,,,,,,,
6,225,152,2.393617021,1.617021277,8.699255319,3.451914894,,,,,,,,
6,228,149,2.425531915,1.585106383,8.720638298,3.329361702,,,,,,,,
6,227,150,2.414893617,1.595744681,8.652553191,3.447446809,,,,,,,,
6,226,151,2.404255319,1.606382979,8.373829787,3.577234043,,,,,,,,
6,225,152,2.393617021,1.617021277,8.745744681,3.499574468,,,,,,,,
6,229,148,2.436170213,1.574468085,8.815319149,3.424042553,,,,,,,,
6,224,153,2.382978723,1.627659574,8.709255319,3.462659574,,,,,,,,
6,229,148,2.436170213,1.574468085,8.772978723,3.459361702,,,,,,,,
6,227,150,2.414893617,1.595744681,8.76287234,3.451702128,,,,,,,,
6,226,151,2.404255319,1.606382979,8.733404255,3.415531915,,,,,,,,
6,226,151,2.404255319,1.606382979,8.623829787,3.485744681,,,,,,,,
732,105,272,1.117021277,2.893617021,3.329255319,5.345957447,,,,,,,,
732,105,272,1.117021277,2.893617021,3.606702128,5.254680851,,,,,,,,
732,109,268,1.159574468,2.85106383,3.982553191,5.32287234,,,,,,,,
732,107,270,1.138297872,2.872340426,3.725531915,5.180531915,,,,,,,,
732,107,270,1.138297872,2.872340426,3.642659574,5.456914894,,,,,,,,
732,107,270,1.138297872,2.872340426,3.453723404,5.191702128,,,,,,,,
732,110,267,1.170212766,2.840425532,3.97893617,5.264468085,,,,,,,,
732,116,261,1.234042553,2.776595745,3.854787234,5.315851064,,,,,,,,
732,102,275,1.085106383,2.925531915,3.841170213,5.521489362,,,,,,,,
732,121,256,1.287234043,2.723404255,4.455957447,5.005744681,,,,,,,,
732,116,261,1.234042553,2.776595745,4.23712766,5.144361702,,,,,,,,
354,92,285,0.978723404,3.031914894,2.844361702,5.773404255,,,,,,,,
732,114,263,1.212765957,2.79787234,4.332553191,5.068510638,,,,,,,,
732,107,270,1.138297872,2.872340426,3.747340426,5.202021277,,,,,,,,
732,96,281,1.021276596,2.989361702,3.236170213,5.648617021,,,,,,,,
732,110,267,1.170212766,2.840425532,3.694893617,5.391276596,,,,,,,,
732,111,266,1.180851064,2.829787234,3.525851064,5.265744681,,,,,,,,
732,106,271,1.127659574,2.882978723,3.540638298,5.355957447,,,,,,,,
732,101,276,1.074468085,2.936170213,3.182978723,5.494361702,,,,,,,,
732,104,273,1.106382979,2.904255319,3.222765957,5.542765957,,,,,,,,
732,106,271,1.127659574,2.882978723,3.678191489,5.335425532,,,,,,,,
732,104,273,1.106382979,2.904255319,3.627234043,5.396808511,,,,,,,,
732,105,272,1.117021277,2.893617021,3.514468085,5.302553191,,,,,,,,
732,109,268,1.159574468,2.85106383,3.740531915,5.241702128,,,,,,,,
732,111,266,1.180851064,2.829787234,3.700212766,5.260531915,,,,,,,,
732,116,261,1.234042553,2.776595745,3.756808511,5.141914894,,,,,,,,
732,113,264,1.20212766,2.808510638,3.738617021,5.179468085,,,,,,,,
732,93,284,0.989361702,3.021276596,3.101170213,5.602340426,,,,,,,,
732,111,266,1.180851064,2.829787234,4.099255319,5.251808511,,,,,,,,
732,107,270,1.138297872,2.872340426,3.35787234,5.452234043,,,,,,,,
1458,173,204,1.840425532,2.170212766,6.033085106,3.962659574,,,,,,,,
1458,185,192,1.968085106,2.042553191,7.048829787,3.580319149,,,,,,,,
1458,172,205,1.829787234,2.180851064,6.594574468,3.740744681,,,,,,,,
1458,193,184,2.053191489,1.957446809,7.464255319,3.310106383,,,,,,,,
1458,184,193,1.957446809,2.053191489,7.668510638,3.408829787,,,,,,,,
1458,188,189,2,2.010638298,7.20712766,3.549255319,,,,,,,,
1458,185,192,1.968085106,2.042553191,7.166808511,3.399042553,,,,,,,,
1458,203,174,2.159574468,1.85106383,7.895638298,3.482765957,,,,,,,,
1458,172,205,1.829787234,2.180851064,6.750319149,3.905531915,,,,,,,,
1458,200,177,2.127659574,1.882978723,7.833829787,3.24606383,,,,,,,,
1458,192,185,2.042553191,1.968085106,6.904680851,3.437446809,,,,,,,,
702,98,279,1.042553191,2.968085106,3.018510638,5.488510638,,,,,,,,
1458,194,183,2.063829787,1.946808511,7.662340426,3.335851064,,,,,,,,
1458,182,195,1.936170213,2.074468085,6.914361702,3.444361702,,,,,,,,
1458,169,208,1.79787234,2.212765957,6.109574468,4.000744681,,,,,,,,
1458,188,189,2,2.010638298,7.330319149,3.810106383,,,,,,,,
1458,200,177,2.127659574,1.882978723,7.349255319,3.307659574,,,,,,,,
1458,178,199,1.893617021,2.117021277,6.749148936,3.820531915,,,,,,,,
1458,179,198,1.904255319,2.106382979,6.566170213,3.69893617,,,,,,,,
1458,177,200,1.882978723,2.127659574,6.956914894,3.844680851,,,,,,,,
1458,172,205,1.829787234,2.180851064,6.784787234,4.155957447,,,,,,,,
1458,188,189,2,2.010638298,7.407765957,3.635744681,,,,,,,,
1458,193,184,2.053191489,1.957446809,7.454255319,3.284255319,,,,,,,,
1458,183,194,1.946808511,2.063829787,7.246808511,3.716914894,,,,,,,,
1458,176,201,1.872340426,2.138297872,6.595425532,3.845319149,,,,,,,,
1458,184,193,1.957446809,2.053191489,6.80787234,3.617234043,,,,,,,,
1458,190,187,2.021276596,1.989361702,7.968404255,3.387659574,,,,,,,,
1458,179,198,1.904255319,2.106382979,6.612978723,3.749042553,,,,,,,,
1458,194,183,2.063829787,1.946808511,7.720531915,3.402765957,,,,,,,,
1458,191,186,2.031914894,1.978723404,7.55106383,3.51393617,,,,,,,,
